mission_id,profile,geometry_params,drone_preset,wind_profile,wind_direction_deg,wind_speed_min,wind_speed_max,waypoint_file,n_waypoints,validation,status
mission_00025,rectangle,"[100, 15, 1]",standard,moderate,0,5.0,8.0,mission_00025.waypoints,7,OK,pending
mission_00026,rectangle,"[100, 15, 1]",standard,moderate,45,5.0,8.0,mission_00026.waypoints,7,OK,pending
mission_00027,rectangle,"[100, 15, 1]",standard,moderate,90,5.0,8.0,mission_00027.waypoints,7,OK,pending
mission_00028,rectangle,"[100, 15, 1]",standard,moderate,135,5.0,8.0,mission_00028.waypoints,7,OK,pending
mission_00029,rectangle,"[100, 15, 1]",standard,gusty,0,3.0,10.0,mission_00029.waypoints,7,OK,pending
mission_00030,rectangle,"[100, 15, 1]",standard,gusty,45,3.0,10.0,mission_00030.waypoints,7,OK,pending
mission_00031,rectangle,"[100, 15, 1]",standard,gusty,90,3.0,10.0,mission_00031.waypoints,7,OK,pending
mission_00032,rectangle,"[100, 15, 1]",standard,gusty,135,3.0,10.0,mission_00032.waypoints,7,OK,pending
mission_00033,rectangle,"[100, 15, 1]",dynamic,calm,0,0.0,1.0,mission_00033.waypoints,7,OK,pending
mission_00034,rectangle,"[100, 15, 1]",dynamic,calm,45,0.0,1.0,mission_00034.waypoints,7,OK,pending
mission_00035,rectangle,"[100, 15, 1]",dynamic,calm,90,0.0,1.0,mission_00035.waypoints,7,OK,pending
mission_00036,rectangle,"[100, 15, 1]",dynamic,calm,135,0.0,1.0,mission_00036.waypoints,7,OK,pending
mission_00037,rectangle,"[100, 15, 1]",dynamic,light,0,2.0,4.0,mission_00037.waypoints,7,OK,pending
mission_00038,rectangle,"[100, 15, 1]",dynamic,light,45,2.0,4.0,mission_00038.waypoints,7,OK,pending
mission_00039,rectangle,"[100, 15, 1]",dynamic,light,90,2.0,4.0,mission_00039.waypoints,7,OK,pending
mission_00040,rectangle,"[100, 15, 1]",dynamic,light,135,2.0,4.0,mission_00040.waypoints,7,OK,pending
mission_00041,rectangle,"[100, 15, 1]",dynamic,moderate,0,5.0,8.0,mission_00041.waypoints,7,OK,pending
mission_00042,rectangle,"[100, 15, 1]",dynamic,moderate,45,5.0,8.0,mission_00042.waypoints,7,OK,pending
mission_00043,rectangle,"[100, 15, 1]",dynamic,moderate,90,5.0,8.0,mission_00043.waypoints,7,OK,pending
mission_00044,rectangle,"[100, 15, 1]",dynamic,moderate,135,5.0,8.0,mission_00044.waypoints,7,OK,pending
mission_00045,rectangle,"[100, 15, 1]",dynamic,gusty,0,3.0,10.0,mission_00045.waypoints,7,OK,pending
mission_00046,rectangle,"[100, 15, 1]",dynamic,gusty,45,3.0,10.0,mission_00046.waypoints,7,OK,pending
mission_00047,rectangle,"[100, 15, 1]",dynamic,gusty,90,3.0,10.0,mission_00047.waypoints,7,OK,pending
mission_00048,rectangle,"[100, 15, 1]",dynamic,gusty,135,3.0,10.0,mission_00048.waypoints,7,OK,pending
mission_00049,rectangle,"[100, 15, 1]",fast,calm,0,0.0,1.0,mission_00049.waypoints,7,OK,pending
mission_00050,rectangle,"[100, 15, 1]",fast,calm,45,0.0,1.0,mission_00050.waypoints,7,OK,pending
mission_00051,rectangle,"[100, 15, 1]",fast,calm,90,0.0,1.0,mission_00051.waypoints,7,OK,pending
mission_00052,rectangle,"[100, 15, 1]",fast,calm,135,0.0,1.0,mission_00052.waypoints,7,OK,pending
mission_00053,rectangle,"[100, 15, 1]",fast,light,0,2.0,4.0,mission_00053.waypoints,7,OK,pending
mission_00054,rectangle,"[100, 15, 1]",fast,light,45,2.0,4.0,mission_00054.waypoints,7,OK,pending
mission_00055,rectangle,"[100, 15, 1]",fast,light,90,2.0,4.0,mission_00055.waypoints,7,OK,pending
mission_00056,rectangle,"[100, 15, 1]",fast,light,135,2.0,4.0,mission_00056.waypoints,7,OK,pending
mission_00057,rectangle,"[100, 15, 1]",fast,moderate,0,5.0,8.0,mission_00057.waypoints,7,OK,pending
mission_00058,rectangle,"[100, 15, 1]",fast,moderate,45,5.0,8.0,mission_00058.waypoints,7,OK,pending
mission_00059,rectangle,"[100, 15, 1]",fast,moderate,90,5.0,8.0,mission_00059.waypoints,7,OK,pending
mission_00060,rectangle,"[100, 15, 1]",fast,moderate,135,5.0,8.0,mission_00060.waypoints,7,OK,pending
mission_00061,rectangle,"[100, 15, 1]",fast,gusty,0,3.0,10.0,mission_00061.waypoints,7,OK,pending
mission_00062,rectangle,"[100, 15, 1]",fast,gusty,45,3.0,10.0,mission_00062.waypoints,7,OK,pending
mission_00063,rectangle,"[100, 15, 1]",fast,gusty,90,3.0,10.0,mission_00063.waypoints,7,OK,pending
mission_00064,rectangle,"[100, 15, 1]",fast,gusty,135,3.0,10.0,mission_00064.waypoints,7,OK,pending
mission_00065,rectangle,"[100, 15, 2]",conservative,calm,0,0.0,1.0,mission_00065.waypoints,11,OK,pending
mission_00066,rectangle,"[100, 15, 2]",conservative,calm,45,0.0,1.0,mission_00066.waypoints,11,OK,pending
mission_00067,rectangle,"[100, 15, 2]",conservative,calm,90,0.0,1.0,mission_00067.waypoints,11,OK,pending
mission_00068,rectangle,"[100, 15, 2]",conservative,calm,135,0.0,1.0,mission_00068.waypoints,11,OK,pending
mission_00069,rectangle,"[100, 15, 2]",conservative,light,0,2.0,4.0,mission_00069.waypoints,11,OK,pending
mission_00070,rectangle,"[100, 15, 2]",conservative,light,45,2.0,4.0,mission_00070.waypoints,11,OK,pending
mission_00071,rectangle,"[100, 15, 2]",conservative,light,90,2.0,4.0,mission_00071.waypoints,11,OK,pending
mission_00072,rectangle,"[100, 15, 2]",conservative,light,135,2.0,4.0,mission_00072.waypoints,11,OK,pending
mission_00073,rectangle,"[100, 15, 2]",conservative,moderate,0,5.0,8.0,mission_00073.waypoints,11,OK,pending
mission_00074,rectangle,"[100, 15, 2]",conservative,moderate,45,5.0,8.0,mission_00074.waypoints,11,OK,pending
mission_00075,rectangle,"[100, 15, 2]",conservative,moderate,90,5.0,8.0,mission_00075.waypoints,11,OK,pending
mission_00076,rectangle,"[100, 15, 2]",conservative,moderate,135,5.0,8.0,mission_00076.waypoints,11,OK,pending
mission_00077,rectangle,"[100, 15, 2]",conservative,gusty,0,3.0,10.0,mission_00077.waypoints,11,OK,pending
mission_00078,rectangle,"[100, 15, 2]",conservative,gusty,45,3.0,10.0,mission_00078.waypoints,11,OK,pending
mission_00079,rectangle,"[100, 15, 2]",conservative,gusty,90,3.0,10.0,mission_00079.waypoints,11,OK,pending
mission_00080,rectangle,"[100, 15, 2]",conservative,gusty,135,3.0,10.0,mission_00080.waypoints,11,OK,pending
mission_00081,rectangle,"[100, 15, 2]",standard,calm,0,0.0,1.0,mission_00081.waypoints,11,OK,pending
mission_00082,rectangle,"[100, 15, 2]",standard,calm,45,0.0,1.0,mission_00082.waypoints,11,OK,pending
mission_00083,rectangle,"[100, 15, 2]",standard,calm,90,0.0,1.0,mission_00083.waypoints,11,OK,pending
mission_00084,rectangle,"[100, 15, 2]",standard,calm,135,0.0,1.0,mission_00084.waypoints,11,OK,pending
mission_00085,rectangle,"[100, 15, 2]",standard,light,0,2.0,4.0,mission_00085.waypoints,11,OK,pending
mission_00086,rectangle,"[100, 15, 2]",standard,light,45,2.0,4.0,mission_00086.waypoints,11,OK,pending
mission_00087,rectangle,"[100, 15, 2]",standard,light,90,2.0,4.0,mission_00087.waypoints,11,OK,pending
mission_00088,rectangle,"[100, 15, 2]",standard,light,135,2.0,4.0,mission_00088.waypoints,11,OK,pending
mission_00089,rectangle,"[100, 15, 2]",standard,moderate,0,5.0,8.0,mission_00089.waypoints,11,OK,pending
mission_00090,rectangle,"[100, 15, 2]",standard,moderate,45,5.0,8.0,mission_00090.waypoints,11,OK,pending
mission_00091,rectangle,"[100, 15, 2]",standard,moderate,90,5.0,8.0,mission_00091.waypoints,11,OK,pending
mission_00092,rectangle,"[100, 15, 2]",standard,moderate,135,5.0,8.0,mission_00092.waypoints,11,OK,pending
mission_00093,rectangle,"[100, 15, 2]",standard,gusty,0,3.0,10.0,mission_00093.waypoints,11,OK,pending
mission_00094,rectangle,"[100, 15, 2]",standard,gusty,45,3.0,10.0,mission_00094.waypoints,11,OK,pending
mission_00095,rectangle,"[100, 15, 2]",standard,gusty,90,3.0,10.0,mission_00095.waypoints,11,OK,pending
mission_00096,rectangle,"[100, 15, 2]",standard,gusty,135,3.0,10.0,mission_00096.waypoints,11,OK,pending
mission_00097,rectangle,"[100, 15, 2]",dynamic,calm,0,0.0,1.0,mission_00097.waypoints,11,OK,pending
mission_00098,rectangle,"[100, 15, 2]",dynamic,calm,45,0.0,1.0,mission_00098.waypoints,11,OK,pending
mission_00099,rectangle,"[100, 15, 2]",dynamic,calm,90,0.0,1.0,mission_00099.waypoints,11,OK,pending
mission_00100,rectangle,"[100, 15, 2]",dynamic,calm,135,0.0,1.0,mission_00100.waypoints,11,OK,pending
mission_00101,rectangle,"[100, 15, 2]",dynamic,light,0,2.0,4.0,mission_00101.waypoints,11,OK,pending
mission_00102,rectangle,"[100, 15, 2]",dynamic,light,45,2.0,4.0,mission_00102.waypoints,11,OK,pending
mission_00103,rectangle,"[100, 15, 2]",dynamic,light,90,2.0,4.0,mission_00103.waypoints,11,OK,pending
mission_00104,rectangle,"[100, 15, 2]",dynamic,light,135,2.0,4.0,mission_00104.waypoints,11,OK,pending
mission_00105,rectangle,"[100, 15, 2]",dynamic,moderate,0,5.0,8.0,mission_00105.waypoints,11,OK,pending
mission_00106,rectangle,"[100, 15, 2]",dynamic,moderate,45,5.0,8.0,mission_00106.waypoints,11,OK,pending
mission_00107,rectangle,"[100, 15, 2]",dynamic,moderate,90,5.0,8.0,mission_00107.waypoints,11,OK,pending
mission_00108,rectangle,"[100, 15, 2]",dynamic,moderate,135,5.0,8.0,mission_00108.waypoints,11,OK,pending
mission_00109,rectangle,"[100, 15, 2]",dynamic,gusty,0,3.0,10.0,mission_00109.waypoints,11,OK,pending
mission_00110,rectangle,"[100, 15, 2]",dynamic,gusty,45,3.0,10.0,mission_00110.waypoints,11,OK,pending
mission_00111,rectangle,"[100, 15, 2]",dynamic,gusty,90,3.0,10.0,mission_00111.waypoints,11,OK,pending
mission_00112,rectangle,"[100, 15, 2]",dynamic,gusty,135,3.0,10.0,mission_00112.waypoints,11,OK,pending
mission_00113,rectangle,"[100, 15, 2]",fast,calm,0,0.0,1.0,mission_00113.waypoints,11,OK,pending
mission_00114,rectangle,"[100, 15, 2]",fast,calm,45,0.0,1.0,mission_00114.waypoints,11,OK,pending
mission_00115,rectangle,"[100, 15, 2]",fast,calm,90,0.0,1.0,mission_00115.waypoints,11,OK,pending
mission_00116,rectangle,"[100, 15, 2]",fast,calm,135,0.0,1.0,mission_00116.waypoints,11,OK,pending
mission_00117,rectangle,"[100, 15, 2]",fast,light,0,2.0,4.0,mission_00117.waypoints,11,OK,pending
mission_00118,rectangle,"[100, 15, 2]",fast,light,45,2.0,4.0,mission_00118.waypoints,11,OK,pending
mission_00119,rectangle,"[100, 15, 2]",fast,light,90,2.0,4.0,mission_00119.waypoints,11,OK,pending
mission_00120,rectangle,"[100, 15, 2]",fast,light,135,2.0,4.0,mission_00120.waypoints,11,OK,pending
mission_00121,rectangle,"[100, 15, 2]",fast,moderate,0,5.0,8.0,mission_00121.waypoints,11,OK,pending
mission_00122,rectangle,"[100, 15, 2]",fast,moderate,45,5.0,8.0,mission_00122.waypoints,11,OK,pending
mission_00123,rectangle,"[100, 15, 2]",fast,moderate,90,5.0,8.0,mission_00123.waypoints,11,OK,pending
mission_00124,rectangle,"[100, 15, 2]",fast,moderate,135,5.0,8.0,mission_00124.waypoints,11,OK,pending
mission_00125,rectangle,"[100, 15, 2]",fast,gusty,0,3.0,10.0,mission_00125.waypoints,11,OK,pending
mission_00126,rectangle,"[100, 15, 2]",fast,gusty,45,3.0,10.0,mission_00126.waypoints,11,OK,pending
mission_00127,rectangle,"[100, 15, 2]",fast,gusty,90,3.0,10.0,mission_00127.waypoints,11,OK,pending
mission_00128,rectangle,"[100, 15, 2]",fast,gusty,135,3.0,10.0,mission_00128.waypoints,11,OK,pending
mission_00129,rectangle,"[100, 15, 3]",conservative,calm,0,0.0,1.0,mission_00129.waypoints,15,OK,pending
mission_00130,rectangle,"[100, 15, 3]",conservative,calm,45,0.0,1.0,mission_00130.waypoints,15,OK,pending
mission_00131,rectangle,"[100, 15, 3]",conservative,calm,90,0.0,1.0,mission_00131.waypoints,15,OK,pending
mission_00132,rectangle,"[100, 15, 3]",conservative,calm,135,0.0,1.0,mission_00132.waypoints,15,OK,pending
mission_00133,rectangle,"[100, 15, 3]",conservative,light,0,2.0,4.0,mission_00133.waypoints,15,OK,pending
mission_00134,rectangle,"[100, 15, 3]",conservative,light,45,2.0,4.0,mission_00134.waypoints,15,OK,pending
mission_00135,rectangle,"[100, 15, 3]",conservative,light,90,2.0,4.0,mission_00135.waypoints,15,OK,pending
mission_00136,rectangle,"[100, 15, 3]",conservative,light,135,2.0,4.0,mission_00136.waypoints,15,OK,pending
mission_00137,rectangle,"[100, 15, 3]",conservative,moderate,0,5.0,8.0,mission_00137.waypoints,15,OK,pending
mission_00138,rectangle,"[100, 15, 3]",conservative,moderate,45,5.0,8.0,mission_00138.waypoints,15,OK,pending
mission_00139,rectangle,"[100, 15, 3]",conservative,moderate,90,5.0,8.0,mission_00139.waypoints,15,OK,pending
mission_00140,rectangle,"[100, 15, 3]",conservative,moderate,135,5.0,8.0,mission_00140.waypoints,15,OK,pending
mission_00141,rectangle,"[100, 15, 3]",conservative,gusty,0,3.0,10.0,mission_00141.waypoints,15,OK,pending
mission_00142,rectangle,"[100, 15, 3]",conservative,gusty,45,3.0,10.0,mission_00142.waypoints,15,OK,pending
mission_00143,rectangle,"[100, 15, 3]",conservative,gusty,90,3.0,10.0,mission_00143.waypoints,15,OK,pending
mission_00144,rectangle,"[100, 15, 3]",conservative,gusty,135,3.0,10.0,mission_00144.waypoints,15,OK,pending
mission_00145,rectangle,"[100, 15, 3]",standard,calm,0,0.0,1.0,mission_00145.waypoints,15,OK,pending
mission_00146,rectangle,"[100, 15, 3]",standard,calm,45,0.0,1.0,mission_00146.waypoints,15,OK,pending
mission_00147,rectangle,"[100, 15, 3]",standard,calm,90,0.0,1.0,mission_00147.waypoints,15,OK,pending
mission_00148,rectangle,"[100, 15, 3]",standard,calm,135,0.0,1.0,mission_00148.waypoints,15,OK,pending
mission_00149,rectangle,"[100, 15, 3]",standard,light,0,2.0,4.0,mission_00149.waypoints,15,OK,pending
mission_00150,rectangle,"[100, 15, 3]",standard,light,45,2.0,4.0,mission_00150.waypoints,15,OK,pending
mission_00151,rectangle,"[100, 15, 3]",standard,light,90,2.0,4.0,mission_00151.waypoints,15,OK,pending
mission_00152,rectangle,"[100, 15, 3]",standard,light,135,2.0,4.0,mission_00152.waypoints,15,OK,pending
mission_00153,rectangle,"[100, 15, 3]",standard,moderate,0,5.0,8.0,mission_00153.waypoints,15,OK,pending
mission_00154,rectangle,"[100, 15, 3]",standard,moderate,45,5.0,8.0,mission_00154.waypoints,15,OK,pending
mission_00155,rectangle,"[100, 15, 3]",standard,moderate,90,5.0,8.0,mission_00155.waypoints,15,OK,pending
mission_00156,rectangle,"[100, 15, 3]",standard,moderate,135,5.0,8.0,mission_00156.waypoints,15,OK,pending
mission_00157,rectangle,"[100, 15, 3]",standard,gusty,0,3.0,10.0,mission_00157.waypoints,15,OK,pending
mission_00158,rectangle,"[100, 15, 3]",standard,gusty,45,3.0,10.0,mission_00158.waypoints,15,OK,pending
mission_00159,rectangle,"[100, 15, 3]",standard,gusty,90,3.0,10.0,mission_00159.waypoints,15,OK,pending
mission_00160,rectangle,"[100, 15, 3]",standard,gusty,135,3.0,10.0,mission_00160.waypoints,15,OK,pending
mission_00161,rectangle,"[100, 15, 3]",dynamic,calm,0,0.0,1.0,mission_00161.waypoints,15,OK,pending
mission_00162,rectangle,"[100, 15, 3]",dynamic,calm,45,0.0,1.0,mission_00162.waypoints,15,OK,pending
mission_00163,rectangle,"[100, 15, 3]",dynamic,calm,90,0.0,1.0,mission_00163.waypoints,15,OK,pending
mission_00164,rectangle,"[100, 15, 3]",dynamic,calm,135,0.0,1.0,mission_00164.waypoints,15,OK,pending
mission_00165,rectangle,"[100, 15, 3]",dynamic,light,0,2.0,4.0,mission_00165.waypoints,15,OK,pending
mission_00166,rectangle,"[100, 15, 3]",dynamic,light,45,2.0,4.0,mission_00166.waypoints,15,OK,pending
mission_00167,rectangle,"[100, 15, 3]",dynamic,light,90,2.0,4.0,mission_00167.waypoints,15,OK,pending
mission_00168,rectangle,"[100, 15, 3]",dynamic,light,135,2.0,4.0,mission_00168.waypoints,15,OK,pending
mission_00169,rectangle,"[100, 15, 3]",dynamic,moderate,0,5.0,8.0,mission_00169.waypoints,15,OK,pending
mission_00170,rectangle,"[100, 15, 3]",dynamic,moderate,45,5.0,8.0,mission_00170.waypoints,15,OK,pending
mission_00171,rectangle,"[100, 15, 3]",dynamic,moderate,90,5.0,8.0,mission_00171.waypoints,15,OK,pending
mission_00172,rectangle,"[100, 15, 3]",dynamic,moderate,135,5.0,8.0,mission_00172.waypoints,15,OK,pending
mission_00173,rectangle,"[100, 15, 3]",dynamic,gusty,0,3.0,10.0,mission_00173.waypoints,15,OK,pending
mission_00174,rectangle,"[100, 15, 3]",dynamic,gusty,45,3.0,10.0,mission_00174.waypoints,15,OK,pending
mission_00175,rectangle,"[100, 15, 3]",dynamic,gusty,90,3.0,10.0,mission_00175.waypoints,15,OK,pending
mission_00176,rectangle,"[100, 15, 3]",dynamic,gusty,135,3.0,10.0,mission_00176.waypoints,15,OK,pending
mission_00177,rectangle,"[100, 15, 3]",fast,calm,0,0.0,1.0,mission_00177.waypoints,15,OK,pending
mission_00178,rectangle,"[100, 15, 3]",fast,calm,45,0.0,1.0,mission_00178.waypoints,15,OK,pending
mission_00179,rectangle,"[100, 15, 3]",fast,calm,90,0.0,1.0,mission_00179.waypoints,15,OK,pending
mission_00180,rectangle,"[100, 15, 3]",fast,calm,135,0.0,1.0,mission_00180.waypoints,15,OK,pending
mission_00181,rectangle,"[100, 15, 3]",fast,light,0,2.0,4.0,mission_00181.waypoints,15,OK,pending
mission_00182,rectangle,"[100, 15, 3]",fast,light,45,2.0,4.0,mission_00182.waypoints,15,OK,pending
mission_00183,rectangle,"[100, 15, 3]",fast,light,90,2.0,4.0,mission_00183.waypoints,15,OK,pending
mission_00184,rectangle,"[100, 15, 3]",fast,light,135,2.0,4.0,mission_00184.waypoints,15,OK,pending
mission_00185,rectangle,"[100, 15, 3]",fast,moderate,0,5.0,8.0,mission_00185.waypoints,15,OK,pending
mission_00186,rectangle,"[100, 15, 3]",fast,moderate,45,5.0,8.0,mission_00186.waypoints,15,OK,pending
mission_00187,rectangle,"[100, 15, 3]",fast,moderate,90,5.0,8.0,mission_00187.waypoints,15,OK,pending
mission_00188,rectangle,"[100, 15, 3]",fast,moderate,135,5.0,8.0,mission_00188.waypoints,15,OK,pending
mission_00189,rectangle,"[100, 15, 3]",fast,gusty,0,3.0,10.0,mission_00189.waypoints,15,OK,pending
mission_00190,rectangle,"[100, 15, 3]",fast,gusty,45,3.0,10.0,mission_00190.waypoints,15,OK,pending
mission_00191,rectangle,"[100, 15, 3]",fast,gusty,90,3.0,10.0,mission_00191.waypoints,15,OK,pending
mission_00192,rectangle,"[100, 15, 3]",fast,gusty,135,3.0,10.0,mission_00192.waypoints,15,OK,pending
mission_00193,rectangle,"[100, 30, 1]",conservative,calm,0,0.0,1.0,mission_00193.waypoints,7,OK,pending
mission_00194,rectangle,"[100, 30, 1]",conservative,calm,45,0.0,1.0,mission_00194.waypoints,7,OK,pending
mission_00195,rectangle,"[100, 30, 1]",conservative,calm,90,0.0,1.0,mission_00195.waypoints,7,OK,pending
mission_00196,rectangle,"[100, 30, 1]",conservative,calm,135,0.0,1.0,mission_00196.waypoints,7,OK,pending
mission_00197,rectangle,"[100, 30, 1]",conservative,light,0,2.0,4.0,mission_00197.waypoints,7,OK,pending
mission_00198,rectangle,"[100, 30, 1]",conservative,light,45,2.0,4.0,mission_00198.waypoints,7,OK,pending
mission_00199,rectangle,"[100, 30, 1]",conservative,light,90,2.0,4.0,mission_00199.waypoints,7,OK,pending
mission_00200,rectangle,"[100, 30, 1]",conservative,light,135,2.0,4.0,mission_00200.waypoints,7,OK,pending
mission_00201,rectangle,"[100, 30, 1]",conservative,moderate,0,5.0,8.0,mission_00201.waypoints,7,OK,pending
mission_00202,rectangle,"[100, 30, 1]",conservative,moderate,45,5.0,8.0,mission_00202.waypoints,7,OK,pending
mission_00203,rectangle,"[100, 30, 1]",conservative,moderate,90,5.0,8.0,mission_00203.waypoints,7,OK,pending
mission_00204,rectangle,"[100, 30, 1]",conservative,moderate,135,5.0,8.0,mission_00204.waypoints,7,OK,pending
mission_00205,rectangle,"[100, 30, 1]",conservative,gusty,0,3.0,10.0,mission_00205.waypoints,7,OK,pending
mission_00206,rectangle,"[100, 30, 1]",conservative,gusty,45,3.0,10.0,mission_00206.waypoints,7,OK,pending
mission_00207,rectangle,"[100, 30, 1]",conservative,gusty,90,3.0,10.0,mission_00207.waypoints,7,OK,pending
mission_00208,rectangle,"[100, 30, 1]",conservative,gusty,135,3.0,10.0,mission_00208.waypoints,7,OK,pending
mission_00209,rectangle,"[100, 30, 1]",standard,calm,0,0.0,1.0,mission_00209.waypoints,7,OK,pending
mission_00210,rectangle,"[100, 30, 1]",standard,calm,45,0.0,1.0,mission_00210.waypoints,7,OK,pending
mission_00211,rectangle,"[100, 30, 1]",standard,calm,90,0.0,1.0,mission_00211.waypoints,7,OK,pending
mission_00212,rectangle,"[100, 30, 1]",standard,calm,135,0.0,1.0,mission_00212.waypoints,7,OK,pending
mission_00213,rectangle,"[100, 30, 1]",standard,light,0,2.0,4.0,mission_00213.waypoints,7,OK,pending
mission_00214,rectangle,"[100, 30, 1]",standard,light,45,2.0,4.0,mission_00214.waypoints,7,OK,pending
mission_00215,rectangle,"[100, 30, 1]",standard,light,90,2.0,4.0,mission_00215.waypoints,7,OK,pending
mission_00216,rectangle,"[100, 30, 1]",standard,light,135,2.0,4.0,mission_00216.waypoints,7,OK,pending
mission_00217,rectangle,"[100, 30, 1]",standard,moderate,0,5.0,8.0,mission_00217.waypoints,7,OK,pending
mission_00218,rectangle,"[100, 30, 1]",standard,moderate,45,5.0,8.0,mission_00218.waypoints,7,OK,pending
mission_00219,rectangle,"[100, 30, 1]",standard,moderate,90,5.0,8.0,mission_00219.waypoints,7,OK,pending
mission_00220,rectangle,"[100, 30, 1]",standard,moderate,135,5.0,8.0,mission_00220.waypoints,7,OK,pending
mission_00221,rectangle,"[100, 30, 1]",standard,gusty,0,3.0,10.0,mission_00221.waypoints,7,OK,pending
mission_00222,rectangle,"[100, 30, 1]",standard,gusty,45,3.0,10.0,mission_00222.waypoints,7,OK,pending
mission_00223,rectangle,"[100, 30, 1]",standard,gusty,90,3.0,10.0,mission_00223.waypoints,7,OK,pending
mission_00224,rectangle,"[100, 30, 1]",standard,gusty,135,3.0,10.0,mission_00224.waypoints,7,OK,pending
mission_00225,rectangle,"[100, 30, 1]",dynamic,calm,0,0.0,1.0,mission_00225.waypoints,7,OK,pending
mission_00226,rectangle,"[100, 30, 1]",dynamic,calm,45,0.0,1.0,mission_00226.waypoints,7,OK,pending
mission_00227,rectangle,"[100, 30, 1]",dynamic,calm,90,0.0,1.0,mission_00227.waypoints,7,OK,pending
mission_00228,rectangle,"[100, 30, 1]",dynamic,calm,135,0.0,1.0,mission_00228.waypoints,7,OK,pending
mission_00229,rectangle,"[100, 30, 1]",dynamic,light,0,2.0,4.0,mission_00229.waypoints,7,OK,pending
mission_00230,rectangle,"[100, 30, 1]",dynamic,light,45,2.0,4.0,mission_00230.waypoints,7,OK,pending
mission_00231,rectangle,"[100, 30, 1]",dynamic,light,90,2.0,4.0,mission_00231.waypoints,7,OK,pending
mission_00232,rectangle,"[100, 30, 1]",dynamic,light,135,2.0,4.0,mission_00232.waypoints,7,OK,pending
mission_00233,rectangle,"[100, 30, 1]",dynamic,moderate,0,5.0,8.0,mission_00233.waypoints,7,OK,pending
mission_00234,rectangle,"[100, 30, 1]",dynamic,moderate,45,5.0,8.0,mission_00234.waypoints,7,OK,pending
mission_00235,rectangle,"[100, 30, 1]",dynamic,moderate,90,5.0,8.0,mission_00235.waypoints,7,OK,pending
mission_00236,rectangle,"[100, 30, 1]",dynamic,moderate,135,5.0,8.0,mission_00236.waypoints,7,OK,pending
mission_00237,rectangle,"[100, 30, 1]",dynamic,gusty,0,3.0,10.0,mission_00237.waypoints,7,OK,pending
